1920,1080
x,y
1285,455
1276,455
1262,452
1252,449
1240,451
1174,469
1166,473
1157,472
1145,475
1137,474
1126,474
1115,475
1104,476
1093,477
1084,476
1073,478
1062,476
1052,478
1040,477
1032,478
1022,479
1011,480
998,483
989,483
977,483
964,482
955,482
945,484
940,486
923,487
897,491
885,492
871,489
861,489
848,490
835,492
824,493
812,493
799,493
782,493
768,495
754,492
741,494
727,494
713,496
699,497
685,497
671,497
657,497
645,497
631,498
619,498
603,497
589,498
575,497
560,496
546,497
533,498
517,498
503,498
490,498
475,498
460,497
444,497
432,498
418,498
405,499
390,498
376,499
361,499
344,497
329,498
314,496
300,497
286,497
272,496
258,497
242,497
223,497
212,497
197,496
185,496
172,496
155,496
142,499
129,499
117,500
104,501
87,501
70,499
55,498
41,497
27,496
21,497
