1920,1080
x,y
322,212
319,213
316,212
312,216
310,217
306,217
304,219
300,219
298,219
295,220
293,222
290,223
286,221
284,225
282,226
280,228
277,227
275,228
272,229
270,230
267,231
265,231
262,232
260,233
257,235
255,236
252,237
250,238
248,239
245,240
243,240
241,242
238,242
236,242
233,243
231,244
229,243
227,243
225,246
223,245
221,246
219,247
216,248
214,252
212,252
210,252
208,254
207,256
205,257
204,259
202,258
201,260
199,261
197,261
195,263
194,265
193,265
190,267
189,268
188,270
188,267
187,267
186,268
185,269
184,273
184,275
183,277
183,280
182,281
181,280
181,281
179,282
179,282
179,284
178,286
178,287
177,289
177,288
177,289
176,288
175,290
175,293
175,293
175,296
175,295
175,296
175,295
175,298
174,301
175,306
175,308
176,309
175,306
175,309
175,312
174,316
174,317
173,314
173,312
172,309
171,308
171,308
171,313
171,316
171,325
170,328
171,331
171,331
171,333
170,333
170,337
170,340
169,344
169,345
169,343
169,348
168,351
168,353
167,354
167,358
166,359
166,361
166,363
165,366
164,364
164,369
164,371
165,373
164,375
164,375
164,378
164,382
163,382
163,382
162,384
162,388
161,391
160,394
159,398
158,400
157,397
157,398
156,399
156,402
156,405
155,405
155,406
155,408
154,412
154,414
153,417
152,420
152,423
151,425
150,428
150,432
150,436
149,441
148,444
147,445
147,446
146,447
146,449
146,452
146,454
146,456
146,456
147,456
149,461
150,465
151,471
153,473
155,474
159,478
162,480
165,483
169,488
173,491
175,496
178,499
183,501
188,505
192,507
197,511
202,514
208,517
213,520
219,523
226,527
232,527
239,532
245,537
251,540
256,544
263,547
269,550
276,554
283,559
289,563
296,568
302,571
309,575
316,577
324,579
331,583
338,586
347,590
355,594
363,598
371,599
381,602
389,607
398,614
407,618
416,622
424,628
433,632
441,638
451,643
460,646
468,650
477,656
486,661
496,665
505,669
514,672
524,676
534,682
544,686
554,690
564,693
574,697
584,704
594,709
606,713
615,721
627,728
637,735
648,741
659,748
669,753
681,759
694,764
705,771
716,776
729,779
743,783
756,792
770,798
786,801
800,805
814,813
829,821
845,829
860,839
875,848
892,855
908,863
924,870
942,878
959,883
976,889
993,898
1012,907
1031,914
1051,923
1070,930
1090,937
1110,945
1132,955
1153,964
1175,972
1196,981
1218,991
1241,998
1264,1003
1288,1008
1311,1013
1335,1017
1360,1022
1384,1027
1409,1032
1431,1038
1452,1043
1476,1048
1502,1053
1534,1059
1569,1064
